Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
ERSTS2,ERSTT,Erigeron strigosus Muhl. ex Willd. var. typicus Cronquist,rubber rabbitbrush,Asteraceae
ERSTS2,ERTR16,Erigeron traversii Shinners,rubber rabbitbrush,Asteraceae
ERSTS2,STST14,Stenactis strigosa (Muhl. ex Willd.) DC.,rubber rabbitbrush,Asteraceae
ERSU2,ABAB3,Erigeron subtrinervis Rydb. ex Porter & Britton,threenerve fleabane,Asteraceae
ERSUS,ABAB3,Erigeron subtrinervis Rydb. ex Porter & Britton var. subtrinervis,threenerve fleabane,Asteraceae
ERSUS,ERGLM,Erigeron glabellus Nutt. var. mollis A. Gray,rubber rabbitbrush,Asteraceae
ERSUS,ERSPM2,Erigeron speciosus (Lindl.) DC. var. mollis (A. Gray) S.L. Welsh,rubber rabbitbrush,Asteraceae
ERSUS,ERSUT,Erigeron subtrinervis Rydb. ex Porter & Britton ssp. typicus Cronquist,rubber rabbitbrush,Asteraceae
ERTE9,ABAB3,Eriogonum tenellum Torr.,tall buckwheat,Polygonaceae
ERTET,ABAB3,Eriogonum tenellum Torr. var. tenellum,tall buckwheat,Polygonaceae
ERTR13,ABAB3,Eremopyrum triticeum (Gaertn.) Nevski,annual wheatgrass,Poaceae
ERTR13,AGPR2,Agropyron prostratum (L. f.) P. Beauv.,rubber rabbitbrush,Poaceae
ERTR13,AGTR5,Agropyron triticeum Gaertn.,rubber rabbitbrush,Poaceae
ERTR3,ABAB3,Eragrostis trichodes (Nutt.) Alph. Wood,sand lovegrass,Poaceae
ERTR3,ERPI,Eragrostis pilifera Scheele,rubber rabbitbrush,Poaceae
ERTR3,ERTRP,Eragrostis trichodes (Nutt.) Alph. Wood var. pilifera (Scheele) Fernald,rubber rabbitbrush,Poaceae
ERTR3,POTR18,Poa trichodes Nutt.,rubber rabbitbrush,Poaceae
ERTU2,ABAB3,Eriogonum tumulosum (Barneby) Reveal,Woodside buckwheat,Polygonaceae
ERTU2,ERVIT,Eriogonum villiflorum A. Gray var. tumulosum Barneby,rubber rabbitbrush,Polygonaceae
ERUI,ABAB3,Erigeron uintahensis Cronquist,Uinta fleabane,Asteraceae
ERUI,ERSPU,Erigeron speciosus (Lindl.) DC. var. uintahensis (Cronquist) S.L. Welsh,rubber rabbitbrush,Asteraceae
ERUM,ABAB3,Eriogonum umbellatum Torr.,sulphur-flower buckwheat,Polygonaceae
ERUMA3,ABAB3,Eriogonum umbellatum Torr. var. aureum (Gandog.) Reveal,sulphur-flower buckwheat,Polygonaceae
ERUMA3,ERUMI,Eriogonum umbellatum Torr. var. intectum A. Nelson,rubber rabbitbrush,Polygonaceae
