Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
ABAR,ABAB3,Abronia argillosa S.L. Welsh & Goodrich,clay sand verbena,Nyctaginaceae
ABCA,ABAB3,Abronia carletonii J.M. Coult. & Fisher,Carleton's sand verbena,Nyctaginaceae
ABCO,ABAB3,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor,rubber rabbitbrush,Pinaceae
ABEL,ABAB3,Abronia elliptica A. Nelson,fragrant white sand verbena,Nyctaginaceae
ABEL,ABFRE2,Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones,rubber rabbitbrush,Nyctaginaceae
ABEL,ABPU2,Abronia pumila Rydb.,rubber rabbitbrush,Nyctaginaceae
ABEL,ABRA,Abronia ramosa Standl.,rubber rabbitbrush,Nyctaginaceae
ABEL,ABSA3,Abronia salsa Rydb.,rubber rabbitbrush,Nyctaginaceae
ABFR2,ABAB3,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,Nyctaginaceae
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,rubber rabbitbrush,Nyctaginaceae
ABIES,ABAB3,Abies Mill.,fir,Pinaceae
ABIN,ABAB3,Abutilon incanum (Link) Sweet,pelotazo,Malvaceae
ABIN,ABINI,Abutilon incanum (Link) Sweet ssp. incanum,rubber rabbitbrush,Malvaceae
ABIN,ABINP,Abutilon incanum (Link) Sweet ssp. pringlei (Hochr.) Felger & Lowe,rubber rabbitbrush,Malvaceae
ABIN,ABPR4,Abutilon pringlei Hochr.,rubber rabbitbrush,Malvaceae
ABLA,ABAB3,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae
ABLAA,ABAB3,Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon,corkbark fir,Pinaceae
ABLAA,ABAR2,Abies arizonica Merriam,rubber rabbitbrush,Pinaceae
ABLAL,ABAB3,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,rubber rabbitbrush,Pinaceae
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,rubber rabbitbrush,Pinaceae
ABLAL,ABBI3,Abies bifolia A. Murray bis,rubber rabbitbrush,Pinaceae
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,rubber rabbitbrush,Pinaceae
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,rubber rabbitbrush,Pinaceae
ABLAL,ABSU,Abies subalpina Engelmann,rubber rabbitbrush,Pinaceae
ABNA,ABAB3,Abronia nana S. Watson,dwarf sand verbena,Nyctaginaceae
ABNAN,ABAB3,Abronia nana S. Watson var. nana,dwarf sand verbena,Nyctaginaceae
ABNAN,ABNAL,Abronia nana S. Watson var. lanciformis M.E. Jones,rubber rabbitbrush,Nyctaginaceae
ABPA3,ABAB3,Abutilon parvulum A. Gray,dwarf Indian mallow,Malvaceae
ABRON,ABAB3,Abronia Juss.,sand verbena,Nyctaginaceae
ABTH,ABAB3,Abutilon theophrasti Medik.,velvetleaf,Malvaceae
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",rubber rabbitbrush,Malvaceae
ABTH,ABAV,Abutilon avicennae Gaertn.,rubber rabbitbrush,Malvaceae
ABUTI,ABAB3,Abutilon Mill.,Indian mallow,Malvaceae
ACAR14,ABAB3,Achnatherum aridum (M.E. Jones) Barkworth,Mormon needlegrass,Poaceae
ACAR14,STAR2,Stipa arida M.E. Jones,rubber rabbitbrush,Poaceae
ACARO2,ABAB3,Acarospora A. Massal.,cracked lichen,Acarosporaceae
ACBL,ABAB3,Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale],rubber rabbitbrush,Poaceae
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,rubber rabbitbrush,Poaceae
ACBL,STBL4,Stipa bloomeri Bol.,rubber rabbitbrush,Poaceae
ACBL,STBL5,Stiporyzopsis bloomeri (Bol.) B.L. Johnson,rubber rabbitbrush,Poaceae
ACCA4,ABAB3,Acorus calamus L.,calamus,Acoraceae
ACCO22,ABAB3,Achnatherum contractum (B.L. Johnson) Barkworth,contracted ricegrass,Poaceae
ACCO22,ORCO3,Oryzopsis contracta (B.L. Johnson) Schltr.,rubber rabbitbrush,Poaceae
ACCO22,ORHYC,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper var. contracta B.L. Johnson,rubber rabbitbrush,Poaceae
ACCO22,STCO11,Stipa contracta (B.L. Johnson) W.A. Weber,rubber rabbitbrush,Poaceae
ACCO4,ABAB3,Aconitum columbianum Nutt.,Columbian monkshood,Ranunculaceae
ACCOC3,ABAB3,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,Ranunculaceae
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Piper,rubber rabbitbrush,Ranunculaceae
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Greene) Harrington,rubber rabbitbrush,Ranunculaceae
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A. Nelson,rubber rabbitbrush,Ranunculaceae
ACCOC3,ACGE3,Aconitum geranioides Greene,rubber rabbitbrush,Ranunculaceae
ACCOC3,ACLE6,Aconitum leibergii Greene,rubber rabbitbrush,Ranunculaceae
ACCOC3,ACMO3,Aconitum mogollonicum Greene,rubber rabbitbrush,Ranunculaceae
ACER,ABAB3,Acer L.,maple,Aceraceae
ACGL,ABAB3,Acer glabrum Torr.,Rocky Mountain maple,Aceraceae
ACGLG2,ABAB3,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,Aceraceae
ACGLG2,ACGLT3,Acer glabrum Torr. var. tripartitum (Nutt. ex Torr. & A. Gray) Pax,rubber rabbitbrush,Aceraceae
ACGLG2,ACGLT4,Acer glabrum Torr. var. typicum (Wesmael) Keller,rubber rabbitbrush,Aceraceae
ACGLG2,ACTR3,Acer tripartitum Nutt. ex Torr. & A. Gray,rubber rabbitbrush,Aceraceae
ACGLN2,ABAB3,Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles,New Mexico maple,Aceraceae
ACGLN2,ACGLN,Acer glabrum Torr. ssp. neomexicanum (Greene) A.E. Murray,rubber rabbitbrush,Aceraceae
ACGLN2,ACGLP,Acer glabrum Torr. var. parviflorum A.E. Murray,rubber rabbitbrush,Aceraceae
ACGLN2,ACNE6,Acer neomexicanum Greene,rubber rabbitbrush,Aceraceae
ACGR3,ABAB3,Acer grandidentatum Nutt.,bigtooth maple,Aceraceae
ACGRG,ABAB3,Acer grandidentatum Nutt. var. grandidentatum,bigtooth maple,Aceraceae
ACGRG,ACSAG2,Acer saccharum Marshall ssp. grandidentatum (Nutt.) Desmarais,rubber rabbitbrush,Aceraceae
ACGRG,ACSAG3,Acer saccharum Marshall var. grandidentatum (Nutt.) Sudw.,rubber rabbitbrush,Aceraceae
ACGRG,SAGR17,Saccharodendron grandidentatum (Nutt.) Nieuwl.,rubber rabbitbrush,Aceraceae
ACHIL,ABAB3,Achillea L.,yarrow,Asteraceae
ACHNA,ABAB3,Achnatherum P. Beauv.,needlegrass,Poaceae
ACHY,ABAB3,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,Poaceae
ACHY,ERCU9,Eriocoma cuspidata Nutt.,rubber rabbitbrush,Poaceae
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,rubber rabbitbrush,Poaceae
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,rubber rabbitbrush,Poaceae
ACLE9,ABAB3,Achnatherum lettermanii (Vasey) Barkworth,Letterman's needlegrass,Poaceae
ACLE9,STLE4,Stipa lettermanii Vasey,rubber rabbitbrush,Poaceae
ACMI2,ABAB3,Achillea millefolium L.,common yarrow,Asteraceae
ACMIA,ABAB3,Achillea millefolium L. var. alpicola (Rydb.) Garrett,common yarrow,Asteraceae
ACMIA,ACAL11,Achillea alpicola (Rydb.) Rydb.,rubber rabbitbrush,Asteraceae
ACMIA,ACFU,Achillea fusca Rydb.,rubber rabbitbrush,Asteraceae
ACMIA,ACLAA,Achillea lanulosa Nutt. ssp. alpicola (Rydb.) D.D. Keck,rubber rabbitbrush,Asteraceae
ACMIA,ACLAA2,Achillea lanulosa Nutt. var. alpicola Rydb.,rubber rabbitbrush,Asteraceae
ACMIA,ACMIF,Achillea millefolium L. var. fusca (Rydb.) G.N. Jones,rubber rabbitbrush,Asteraceae
ACMIA,ACSU3,Achillea subalpina Greene,rubber rabbitbrush,Asteraceae
ACMIO,ABAB3,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae
ACMIO,ACAN7,Achillea angustissima Rydb.,rubber rabbitbrush,Asteraceae
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,rubber rabbitbrush,Asteraceae
ACMIO,ACER2,Achillea eradiata Piper,rubber rabbitbrush,Asteraceae
ACMIO,ACGR5,Achillea gracilis Raf.,rubber rabbitbrush,Asteraceae
ACMIO,ACLA5,Achillea lanulosa Nutt.,rubber rabbitbrush,Asteraceae
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,rubber rabbitbrush,Asteraceae
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,rubber rabbitbrush,Asteraceae
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,rubber rabbitbrush,Asteraceae
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,rubber rabbitbrush,Asteraceae
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,rubber rabbitbrush,Asteraceae
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,rubber rabbitbrush,Asteraceae
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,rubber rabbitbrush,Asteraceae
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,rubber rabbitbrush,Asteraceae
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,rubber rabbitbrush,Asteraceae
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,rubber rabbitbrush,Asteraceae
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,rubber rabbitbrush,Asteraceae
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,rubber rabbitbrush,Asteraceae
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,rubber rabbitbrush,Asteraceae
ACMIO,ACRO4,Achillea rosea Desf.,rubber rabbitbrush,Asteraceae
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",rubber rabbitbrush,Asteraceae
ACNE10,ABAB3,Achnatherum nevadense (B.L. Johnson) Barkworth,Nevada needlegrass,Poaceae
ACNE10,STNE4,Stipa nevadensis B.L. Johnson,rubber rabbitbrush,Poaceae
ACNE2,ABAB3,Acer negundo L.,boxelder,Aceraceae
ACNE9,ABAB3,Achnatherum nelsonii (Scribn.) Barkworth,Columbia needlegrass,Poaceae
ACNED,ABAB3,Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth,Dore's needlegrass,Poaceae
ACNED,ACNED2,Achnatherum nelsonii (Scribn.) Barkworth var. dorei (Barkworth & Maze) Dorn,rubber rabbitbrush,Poaceae
ACNED,STCO3,"Stipa columbiana Macoun, nom. utique rej.",rubber rabbitbrush,Poaceae
ACNED,STMI6,Stipa minor (Vasey) Scribn.,rubber rabbitbrush,Poaceae
ACNED,STNED,Stipa nelsonii Scribn. ssp. dorei Barkworth & Maze,rubber rabbitbrush,Poaceae
ACNED,STNED2,Stipa nelsonii Scribn. var. dorei (Barkworth & Maze) Dorn,rubber rabbitbrush,Poaceae
ACNED,STOCM,"Stipa occidentalis Thurb. var. minor sensu C.L. Hitchc., non (Vasey) C.L. Hitchc.",rubber rabbitbrush,Poaceae
ACNEI2,ABAB3,Acer negundo L. var. interius (Britton) Sarg.,boxelder,Aceraceae
ACNEI2,ACIN3,Acer interius Britton,rubber rabbitbrush,Aceraceae
ACNEI2,ACNEI,Acer negundo L. ssp. interius (Britton) Á. Löve & D. Löve,rubber rabbitbrush,Aceraceae
ACNEI2,NEACI,Negundo aceroides (L.) Moench ssp. interius (Britton) Á. Löve & D. Löve,rubber rabbitbrush,Aceraceae
ACNEI2,NEIN3,Negundo interius (Britton) Rydb.,rubber rabbitbrush,Aceraceae
ACNEN,ABAB3,Acer negundo L. var. negundo,boxelder,Aceraceae
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,rubber rabbitbrush,Aceraceae
ACNEN,NEAC,Negundo aceroides (L.) Moench,rubber rabbitbrush,Aceraceae
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",rubber rabbitbrush,Aceraceae
ACNEN2,ABAB3,Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii,Columbia needlegrass,Poaceae
ACNEN2,STCON2,Stipa columbiana Macoun var. nelsonii (Scribn.) H. St. John,rubber rabbitbrush,Poaceae
ACNEN2,STNE3,Stipa nelsonii Scribn.,rubber rabbitbrush,Poaceae
ACNEN2,STOCN,Stipa occidentalis Thurb. var. nelsonii (Scribn.) C.L. Hitchc.,rubber rabbitbrush,Poaceae
ACNEN2,STWI,Stipa williamsii Scribn.,rubber rabbitbrush,Poaceae
ACNEV,ABAB3,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder,Aceraceae
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber,rubber rabbitbrush,Aceraceae
ACOC3,ABAB3,Achnatherum occidentale (Thurb.) Barkworth,western needlegrass,Poaceae
ACOCP,ABAB3,Achnatherum occidentale (Thurb.) Barkworth ssp. pubescens (Vasey) Barkworth,pubescent western needlegrass,Poaceae
ACOCP,STEL2,Stipa elmeri Piper & Brodie ex Scribn.,rubber rabbitbrush,Poaceae
ACOCP,STOCP,"Stipa occidentalis Thurb. var. pubescens (Vasey) Maze, Roy L. Taylor & MacBryde",rubber rabbitbrush,Poaceae
ACONI,ABAB3,Aconitum L.,monkshood,Ranunculaceae
ACORU,ABAB3,Acorus L.,sweetflag,Acoraceae
ACPI2,ABAB3,Achnatherum pinetorum (M.E. Jones) Barkworth,pine needlegrass,Poaceae
ACPI2,STPI2,Stipa pinetorum M.E. Jones,rubber rabbitbrush,Poaceae
ACRE3,ABAB3,Acroptilon repens (L.) DC.,hardheads,Asteraceae
ACRE3,CEPI3,Centaurea picris Pall. ex Willd.,rubber rabbitbrush,Asteraceae
ACRE3,CERE6,Centaurea repens L.,rubber rabbitbrush,Asteraceae
ACRI8,ABAB3,Achnatherum richardsonii (Link) Barkworth,Richardson's needlegrass,Poaceae
ACRI8,STRI2,Stipa richardsonii Link,rubber rabbitbrush,Poaceae
ACRO7,ABAB3,Achnatherum robustum (Vasey) Barkworth,sleepygrass,Poaceae
ACRO7,STRO3,Stipa robusta (Vasey) Scribn.,rubber rabbitbrush,Poaceae
ACRO7,STVA4,Stipa vaseyi Scribn.,rubber rabbitbrush,Poaceae
ACROP,ABAB3,Acroptilon Cass.,hardheads,Asteraceae
ACRU2,ABAB3,Actaea rubra (Aiton) Willd.,red baneberry,Ranunculaceae
ACRUA8,ABAB3,Actaea rubra (Aiton) Willd. ssp. arguta (Nutt.) Hultén,red baneberry,Ranunculaceae
ACRUA8,ACAR7,Actaea arguta Nutt.,rubber rabbitbrush,Ranunculaceae
ACRUA8,ACARV,Actaea arguta Nutt. var. viridiflora (Greene) Tidestr.,rubber rabbitbrush,Ranunculaceae
ACRUA8,ACRUA,Actaea rubra (Aiton) Willd. var. arguta (Nutt.) G. Lawson,rubber rabbitbrush,Ranunculaceae
ACRUA8,ACSPA,Actaea spicata L. var. arguta (Nutt.) Torr.,rubber rabbitbrush,Ranunculaceae
ACSC11,ABAB3,Achnatherum scribneri (Vasey) Barkworth,Scribner needlegrass,Poaceae
ACSC11,STSC2,Stipa scribneri Vasey,rubber rabbitbrush,Poaceae
ACSP12,ABAB3,Achnatherum speciosum (Trin. & Rupr.) Barkworth,desert needlegrass,Poaceae
ACSP12,STSP3,Stipa speciosa Trin. & Rupr.,rubber rabbitbrush,Poaceae
ACTAE,ABAB3,Actaea L.,baneberry,Ranunculaceae
ACTH7,ABAB3,Achnatherum thurberianum (Piper) Barkworth,Thurber's needlegrass,Poaceae
ACTH7,STTH2,Stipa thurberiana Piper,rubber rabbitbrush,Poaceae
ACWE3,ABAB3,Achnatherum webberi (Thurb.) Barkworth,Webber needlegrass,Poaceae
ACWE3,ORWE,Oryzopsis webberi (Thurb.) Benth. ex Vasey,rubber rabbitbrush,Poaceae
ACWE3,STWE,Stipa webberi (Thurb.) B.L. Johnson,rubber rabbitbrush,Poaceae
ADAL,ABAB3,Adiantum aleuticum (Rupr.) Paris,Aleutian maidenhair,Pteridaceae
ADAL,ADPEA2,Adiantum pedatum L. ssp. aleuticum (Rupr.) Calder & Roy L. Taylor,rubber rabbitbrush,Pteridaceae
ADAL,ADPEC,Adiantum pedatum L. ssp. calderi Cody,rubber rabbitbrush,Pteridaceae
ADAL,ADPES,Adiantum pedatum L. ssp. subpumilum (W.H. Wagner) Lellinger,rubber rabbitbrush,Pteridaceae
ADAL,ADPEA,Adiantum pedatum L. var. aleuticum Rupr.,rubber rabbitbrush,Pteridaceae
ADAL,ADPES2,Adiantum pedatum L. var. subpumilum W.H. Wagner,rubber rabbitbrush,Pteridaceae
ADCA,ABAB3,Adiantum capillus-veneris L.,common maidenhair,Pteridaceae
ADCA,ADCAM,Adiantum capillus-veneris L. var. modestum (Underw.) Fernald,rubber rabbitbrush,Pteridaceae
ADCA,ADCAP,Adiantum capillus-veneris L. var. protrusum Fernald,rubber rabbitbrush,Pteridaceae
ADCA,ADMO2,Adiantum modestum Underw.,rubber rabbitbrush,Pteridaceae
ADIAN,ABAB3,Adiantum L.,maidenhair fern,Pteridaceae
ADMO,ABAB3,Adoxa moschatellina L.,muskroot,Adoxaceae
ADOXA,ABAB3,Adoxa L.,adoxa,Adoxaceae
AECY,ABAB3,Aegilops cylindrica Host,jointed goatgrass,Poaceae
AECY,AECYR,Aegilops cylindrica Host var. rubiginosa Popova,rubber rabbitbrush,Poaceae
AECY,AETA3,Aegilops tauschii auct. non Coss.,rubber rabbitbrush,Poaceae
AECY,CYCY5,Cylindropyrum cylindricum (Host) Á. Löve,rubber rabbitbrush,Poaceae
AECY,TRCY3,"Triticum cylindricum (Host) Ces., Pass. & Gibelli",rubber rabbitbrush,Poaceae
AEGIL,ABAB3,Aegilops L.,goatgrass,Poaceae
AGALI,ABAB3,Agalinis Raf.,false foxglove,Scrophulariaceae
AGAST,ABAB3,Agastache Clayton ex Gronov.,giant hyssop,Lamiaceae
AGAU2,ABAB3,Agoseris aurantiaca (Hook.) Greene,orange agoseris,Asteraceae
AGAUA,ABAB3,Agoseris aurantiaca (Hook.) Greene var. aurantiaca,orange agoseris,Asteraceae
AGAUA,AGGR7,Agoseris graminifolia Greene,rubber rabbitbrush,Asteraceae
AGAUA,AGRO2,Agoseris rostrata Rydb.,rubber rabbitbrush,Asteraceae
AGAUA,TRAU8,Troximon aurantiacum Hook.,rubber rabbitbrush,Asteraceae
AGAUP,ABAB3,Agoseris aurantiaca (Hook.) Greene var. purpurea (A. Gray) Cronquist,orange agoseris,Asteraceae
AGAUP,AGAUP2,Agoseris aurantiaca (Hook.) Greene ssp. purpurea (A. Gray) G.W. Douglas,rubber rabbitbrush,Asteraceae
AGBR4,ABAB3,Agrostemma brachyloba (Fenzl) Hammer,narrow corncockle,Caryophyllaceae
AGBR4,AGGR5,Agrostemma gracilis Boiss.,rubber rabbitbrush,Caryophyllaceae
AGCR,ABAB3,Agropyron cristatum (L.) Gaertn.,crested wheatgrass,Poaceae
AGCRC,ABAB3,Agropyron cristatum (L.) Gaertn. ssp. cristatum,crested wheatgrass,Poaceae
AGCRP8,ABAB3,Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev,crested wheatgrass,Poaceae
AGCRP8,AGCR3,Agropyron cristatiforme Sarkar,rubber rabbitbrush,Poaceae
AGCRP8,AGPE6,Agropyron pectinatum (M. Bieb.) P. Beauv.,rubber rabbitbrush,Poaceae
AGCRP8,AGPE5,Agropyron pectiniforme Roem. & Schult.,rubber rabbitbrush,Poaceae
AGDE2,ABAB3,Agropyron desertorum (Fisch. ex Link) Schult.,desert wheatgrass,Poaceae
AGDE2,AGCRD,Agropyron cristatum (L.) Gaertn. ssp. desertorum (Fisch. ex Link) Á. Löve,rubber rabbitbrush,Poaceae
AGDE2,AGCRD2,Agropyron cristatum (L.) Gaertn. var. desertorum (Fisch. ex Link) Dorn,rubber rabbitbrush,Poaceae
AGERA2,ABAB3,Ageratina Spach,snakeroot,Asteraceae
AGEX,ABAB3,Agrostis exarata Trin.,spike bentgrass,Poaceae
AGEX,AGAE2,Agrostis aenea Trin.,rubber rabbitbrush,Poaceae
AGEX,AGAL2,Agrostis alaskana Hultén,rubber rabbitbrush,Poaceae
AGEX,AGAM2,Agrostis ampla Hitchc.,rubber rabbitbrush,Poaceae
AGEX,AGAS4,Agrostis asperifolia Trin.,rubber rabbitbrush,Poaceae
AGEX,AGEXM3,Agrostis exarata Trin. ssp. minor (Hook.) C.L. Hitchc.,rubber rabbitbrush,Poaceae
AGEX,AGEXM,Agrostis exarata Trin. var. minor Hook.,rubber rabbitbrush,Poaceae
AGEX,AGEXM2,Agrostis exarata Trin. var. monolepis (Torr.) Hitchc.,rubber rabbitbrush,Poaceae
AGEX,AGEXP2,Agrostis exarata Trin. var. pacifica Vasey,rubber rabbitbrush,Poaceae
AGEX,AGEXP,Agrostis exarata Trin. var. purpurascens Hultén,rubber rabbitbrush,Poaceae
AGEX,AGLO2,Agrostis longiligula Hitchc.,rubber rabbitbrush,Poaceae
AGEX,AGLOA,Agrostis longiligula Hitchc. var. australis J.T. Howell,rubber rabbitbrush,Poaceae
AGEX,AGME,Agrostis melaleuca (Trin.) Hitchc.,rubber rabbitbrush,Poaceae
AGEX,AGMIM,Agrostis microphylla Steud. var. major Vasey,rubber rabbitbrush,Poaceae
AGFO,ABAB3,Agastache foeniculum (Pursh) Kuntze,blue giant hyssop,Lamiaceae
AGFO,AGAN3,Agastache anethiodora (Nutt.) Britton,rubber rabbitbrush,Lamiaceae
AGFR,ABAB3,Agropyron fragile (Roth) P. Candargy,Siberian wheatgrass,Poaceae
AGFR,AGCRF,Agropyron cristatum (L.) Gaertn. ssp. fragile (Roth) Á. Löve,rubber rabbitbrush,Poaceae
AGFR,AGCRF2,Agropyron cristatum (L.) Gaertn. var. fragile (Roth) Dorn,rubber rabbitbrush,Poaceae
AGFR,AGFRM,Agropyron fragile (Roth) P. Candargy ssp. mongolicum (Keng) D.R. Dewey,rubber rabbitbrush,Poaceae
AGFR,AGFRS,Agropyron fragile (Roth) P. Candargy ssp. sibiricum (Willd.) Melderis,rubber rabbitbrush,Poaceae
AGFR,AGFRS2,Agropyron fragile (Roth) P. Candargy var. sibiricum (Willd.) Tzvelev,rubber rabbitbrush,Poaceae
AGFR,AGMO6,Agropyron mongolicum Keng,rubber rabbitbrush,Poaceae
AGFR,AGSI,Agropyron sibiricum (Willd.) P. Beauv.,rubber rabbitbrush,Poaceae
AGGI,ABAB3,Agrostemma githago L.,common corncockle,Caryophyllaceae
AGGI2,ABAB3,Agrostis gigantea Roth,redtop,Poaceae
AGGI2,AGAL3,Agrostis alba auct. non L.,rubber rabbitbrush,Poaceae
AGGI2,AGGID,Agrostis gigantea Roth var. dispar (Michx.) Philipson,rubber rabbitbrush,Poaceae
AGGI2,AGNI,Agrostis nigra With.,rubber rabbitbrush,Poaceae
AGGI2,AGSTG,Agrostis stolonifera L. ssp. gigantea (Roth) Schübl. & G. Martens,rubber rabbitbrush,Poaceae
AGGI2,AGSTM,Agrostis stolonifera L. var. major (Gaudin) Farw.,rubber rabbitbrush,Poaceae
AGGL,ABAB3,Agoseris glauca (Pursh) Raf.,pale agoseris,Asteraceae
AGGLA,ABAB3,Agoseris glauca (Pursh) Raf. var. agrestis (Osterh.) Q. Jones ex Cronquist,pale agoseris,Asteraceae
AGGLA,AGAG,Agoseris agrestis Osterh.,rubber rabbitbrush,Asteraceae
AGGLD,ABAB3,Agoseris glauca (Pursh) Raf. var. dasycephala (Torr. & A. Gray) Jeps.,pale agoseris,Asteraceae
AGGLD,AGGLS,Agoseris glauca (Pursh) Raf. ssp. scorzonerifolia (Schrad.) Piper,rubber rabbitbrush,Asteraceae
AGGLD,AGGLA2,Agoseris glauca (Pursh) Raf. var. asper (Rydb.) Cronquist,rubber rabbitbrush,Asteraceae
AGGLD,AGGLP2,Agoseris glauca (Pursh) Raf. var. pumila (Nutt.) Garrett,rubber rabbitbrush,Asteraceae
AGGLD,AGSC7,Agoseris scorzonerifolia (Schrad.) Greene,rubber rabbitbrush,Asteraceae
AGGLD,TRGLD,Troximon glaucum Pursh var. dasycephalum Torr. & A. Gray,rubber rabbitbrush,Asteraceae
AGGLG,ABAB3,Agoseris glauca (Pursh) Raf. var. glauca,pale agoseris,Asteraceae
AGGLG,AGTU3,Agoseris turbinata Rydb.,rubber rabbitbrush,Asteraceae
AGGLG,TRGL7,Troximon glaucum Pursh,rubber rabbitbrush,Asteraceae
AGGLL,ABAB3,Agoseris glauca (Pursh) Raf. var. laciniata (D.C. Eaton) Smiley,false agoseris,Asteraceae
AGGLL,AGAR5,Agoseris arizonica Greene,rubber rabbitbrush,Asteraceae
AGGLL,AGGLP,Agoseris glauca (Pursh) Raf. var. parviflora (Nutt.) Rydb.,rubber rabbitbrush,Asteraceae
AGGLL,AGPA14,Agoseris parviflora (Nutt.) Greene,rubber rabbitbrush,Asteraceae
AGGLL,MAGLL,Macrorhynchus glaucus (Pursh) D.C. Eaton var. laciniatus D.C. Eaton,rubber rabbitbrush,Asteraceae
AGGLL,TRPA12,Troximon parviflorum Nutt.,rubber rabbitbrush,Asteraceae
AGHE2,ABAB3,Agoseris heterophylla (Nutt.) Greene,annual agoseris,Asteraceae
AGHE5,ABAB3,Ageratina herbacea (A. Gray) R.M. King & H. Rob.,fragrant snakeroot,Asteraceae
AGHE5,EUHE7,Eupatorium herbaceum (A. Gray) Greene,rubber rabbitbrush,Asteraceae
AGHEH,ABAB3,Agoseris heterophylla (Nutt.) Greene var. heterophylla,annual agoseris,Asteraceae
AGHEH,AGHEC2,Agoseris heterophylla (Nutt.) Greene ssp. californica (Nutt.) Piper,rubber rabbitbrush,Asteraceae
AGHEH,AGHEN,Agoseris heterophylla (Nutt.) Greene ssp. normalis Piper,rubber rabbitbrush,Asteraceae
AGHEH,AGHEC3,Agoseris heterophylla (Nutt.) Greene var. cryptopleura Jeps.,rubber rabbitbrush,Asteraceae
AGHEH,AGHEK,Agoseris heterophylla (Nutt.) Greene var. kymapleura Greene,rubber rabbitbrush,Asteraceae
AGHEH,MAHE4,Macrorhynchus heterophyllus Nutt.,rubber rabbitbrush,Asteraceae
AGHU,ABAB3,Agrostis humilis Vasey,alpine bentgrass,Poaceae
AGHU,AGTH2,Agrostis thurberiana Hitchc.,rubber rabbitbrush,Poaceae
AGHU,POHU,Podagrostis humilis (Vasey) Björkman,rubber rabbitbrush,Poaceae
